Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",0,4.16,Knopf,Hardcover,401,2022,2022,,2024/03/25,to-read,to-read (#18),to-read,,,,0,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",5,4.58,Entangled: Red Tower Books,Hardcover,517,2023,2023,2024/03/24,2024/02/27,,,read,"Spectacular. Phenomenal in the foreshadowing and tying all that together in the end. Sat with my mouth open in shock for 5 minutes after reading the last page. INSANITY! I’ll say it again, this is not what I would consider fantasy but more dystopian era vibes (four and tris have met their match). Great character arcs great action great plot great book. PERIOD",,,1,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.31,Scribner,Hardcover,544,2014,2014,,2024/03/18,to-read,to-read (#16),to-read,,,,0,0
30117284,"Carve the Mark (Carve the Mark, #1)",Veronica Roth,"Roth, Veronica",,"=""0062348639""","=""9780062348630""",0,3.78,Katherine Tegen Books,Hardcover,468,2017,2017,,2024/03/18,to-read,to-read (#15),to-read,,,,0,0
165940202,"A Fate Inked in Blood (Saga of the Unfated, #1)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0593599837""","=""9780593599839""",0,4.00,Del Rey,Hardcover,432,2024,2024,,2024/03/17,to-read,to-read (#14),to-read,,,,0,0
58340706,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,"Gillig, Rachel",,"=""0316312487""","=""9780316312486""",0,4.30,Orbit,Paperback,399,2022,2022,,2024/03/13,to-read,to-read (#13),to-read,,,,0,0
60766189,"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha    Shannon,"Shannon, Samantha",,"=""1635577926""","=""9781635577921""",0,4.37,Bloomsbury Publishing,Hardcover,868,2023,2023,,2024/03/09,to-read,to-read (#12),to-read,,,,0,0
40275288,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha    Shannon,"Shannon, Samantha",,"=""1408883457""","=""9781408883457""",0,4.19,Bloomsbury Publishing,ebook,848,2019,2019,,2024/03/09,to-read,to-read (#11),to-read,,,,0,0
62967882,"Maybe Someday (Maybe, #1)",Colleen Hoover,"Hoover, Colleen",,"=""1476753164""","=""9781476753164""",4,4.00,Atria Books,Paperback,384,2022,2014,2024/03/08,2024/03/05,,,read,Yes I did in fact finish this in one day ,,,1,0
58310153,"The High Mountain Court (The Five Crowns of Okrith, #1)",A.K. Mulford,"Mulford, A.K.",,"=""""","=""""",0,3.71,AK Mulford,Kindle Edition,354,2021,2021,,2024/03/07,to-read,to-read (#10),to-read,,,,0,0
145779731,A Happy Place,Emily Henry,"Henry, Emily",,"=""""","=""""",3,4.00,Berkley,Hardcover,397,2023,2023,2024/03/07,2024/03/03,,,read,It took a minute to get into and I wasn’t hooked but it also wasn’t a pain to read. It had a lot of life lessons about happiness if you didn’t gather that from the title. I also couldn’t stop picturing Kimberly from Sex Lives of College Girls as the main character and don’t know if that was a good or bad influence on my reading experience ,,,1,0
65214365,"Fall of Ruin and Wrath (Awakening, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1250750199""","=""9781250750198""",3,4.01,Bramble,Hardcover,416,2023,2023,2024/03/05,2024/03/03,,,read,Got way better towards the end. I’m assuming this will be a series with the way it ended…hoping it’s the kind of series where the second book is better than the first but only time will tell ,,,1,0
52867387,Beach Read,Emily Henry,"Henry, Emily",,"=""""","=""""",0,4.00,Berkley,Paperback,361,2020,2020,,2024/03/05,to-read,to-read (#9),to-read,,,,0,0
75513900,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",0,4.24,,Kindle Edition,523,2023,2023,,2024/03/02,to-read,to-read (#8),to-read,,,,0,0
50659471,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575621""","=""9781635575620""",4,3.75,Bloomsbury Publishing,Paperback,232,2020,2018,2024/03/02,2024/02/27,,,read,"Why did this book make me tear up the most out of all of them?? This was cute and I think more series should have little playful books in between like this one. However, Rhys and Feyre are almost too happy and it makes me nauseous. ",,,1,0
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",3,4.04,Ballantine Books,Hardcover,369,2021,2021,2024/03/02,2024/02/27,,,read,Why didn’t I learn how to surf? <br/>Other than that…cute and quick read,,,1,0
60714999,"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.32,Independently Published,Kindle Edition,504,2022,2022,,2024/02/28,to-read,to-read (#6),to-read,,,,0,0
50659472,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575605""","=""9781635575606""",5,4.48,Bloomsbury Publishing,Paperback,703,2020,2017,2024/02/28,2024/02/27,,,read,woah. (Initial reaction)<br/><br/>needed to take a few moments to collect my thoughts<br/><br/>More action than love but still had me entertained af and on my toes for the whole thing. ,,,1,0
62562931,Same Time Next Summer,Annabel Monaghan,"Monaghan, Annabel",,"=""059354496X""","=""9780593544969""",0,3.76,G.P. Putnam's Sons,Paperback,320,2023,2023,,2024/02/28,to-read,to-read (#4),to-read,,,,0,0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""""","=""""",0,4.04,"Little, Brown Books for Young Readers",Hardcover,370,2018,2018,,2024/02/28,to-read,to-read (#3),to-read,,,,0,0
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0735223718""","=""9780735223714""",5,4.70,Viking,ebook,384,2019,2019,,2024/02/27,,,read,Inspiring af ,,,1,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",0,4.21,Ballantine Books,Hardcover,384,2022,2022,,2024/02/27,to-read,to-read (#5),to-read,,,,0,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""153872474X""","=""9781538724743""",5,4.31,Grand Central Publishing,ebook,336,2021,2018,,2024/02/27,,,read,Best Colleen Hoover book out there by far,,,1,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",5,4.19,Bloomsbury Publishing,Paperback,419,2020,2015,2024/02/14,2024/02/27,,,read,Now having read the other books this was kinda crazy to think about ,,,1,0
60393672,"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,"Hoover, Colleen",,"=""1668001225""","=""9781668001226""",5,3.87,Atria Books,Paperback,323,2022,2022,,2024/02/27,,,read,Great stuff,,,1,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",5,4.65,Bloomsbury Publishing,Paperback,626,2020,2016,2024/02/19,2024/02/27,,,read,Shit slapped beyond belief ,,,1,0
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"Tolle, Eckhart",,"=""""","=""""",5,4.15,New World Library,Paperback,229,2004,1997,,2024/02/27,,,read,,,,1,0
